test,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Camera Matrix,497.8014,0.0000,331.4718,0.0000,497.8014,237.8296,0.0000,0.0000,1.0000
Distortion Coefficient,0.3535,-3.7964,0.0009,0.0016,11.3690
Camera Matrix,660.3441,0.0000,305.0739,0.0000,660.3441,205.7296,0.0000,0.0000,1.0000
Distortion Coefficient,0.4496,-6.8965,0.0037,0.0063,26.9357
Camera Matrix,591.4810,0.0000,296.5747,0.0000,591.4810,238.1440,0.0000,0.0000,1.0000
Distortion Coefficient,0.6926,-11.3420,-0.0003,-0.0003,65.9919
Camera Matrix,520.1305,0.0000,332.4359,0.0000,520.1305,241.8971,0.0000,0.0000,1.0000
Distortion Coefficient,0.4223,-4.5810,-0.0021,0.0017,14.4027
Camera Matrix,578.1929,0.0000,297.5256,0.0000,578.1929,230.3866,0.0000,0.0000,1.0000
Distortion Coefficient,-0.3174,15.6946,-0.0059,0.0058,-169.7405
Camera Matrix,578.7597,0.0000,299.8899,0.0000,578.7597,240.4940,0.0000,0.0000,1.0000
Distortion Coefficient,-0.4493,17.8709,-0.0044,0.0141,-183.9306
Camera Matrix,559.0985,0.0000,305.7549,0.0000,559.0985,247.7035,0.0000,0.0000,1.0000
Distortion Coefficient,0.2065,-2.9982,-0.0008,0.0399,9.2946
Camera Matrix,404.4649,0.0000,341.8055,0.0000,404.4649,251.8382,0.0000,0.0000,1.0000
Distortion Coefficient,0.7235,-4.3276,0.0320,-0.0741,11.1047
Camera Matrix,477.4332,0.0000,228.4830,0.0000,477.4332,209.2017,0.0000,0.0000,1.0000
Distortion Coefficient,0.2581,0.1141,-0.0116,-0.1373,-0.2068
Camera Matrix,392.2626,0.0000,352.3866,0.0000,392.2626,221.9719,0.0000,0.0000,1.0000
Distortion Coefficient,0.1733,-0.4955,-0.0242,0.0036,0.6201
Camera Matrix,508.6172,0.0000,330.6284,0.0000,508.6172,249.4851,0.0000,0.0000,1.0000
Distortion Coefficient,0.5666,-16.6014,0.0105,0.0008,157.4181
Camera Matrix,507.8776,0.0000,331.3119,0.0000,507.8776,249.2674,0.0000,0.0000,1.0000
Distortion Coefficient,0.5531,-15.7268,0.0103,0.0008,142.4390
Camera Matrix,515.6501,0.0000,325.6490,0.0000,515.6501,253.1071,0.0000,0.0000,1.0000
Distortion Coefficient,-0.1426,5.6755,0.0117,0.0121,-60.6766
Camera Matrix,546.6202,0.0000,361.6406,0.0000,546.6202,233.2598,0.0000,0.0000,1.0000
Distortion Coefficient,0.2737,-3.3446,-0.0027,0.0042,12.9095
Camera Matrix,826.0254,0.0000,169.2648,0.0000,826.0254,251.4911,0.0000,0.0000,1.0000
Distortion Coefficient,0.0993,-0.6733,-0.0067,0.0273,0.2201
Camera Matrix,592.7815,0.0000,279.7806,0.0000,592.7815,254.6035,0.0000,0.0000,1.0000
Distortion Coefficient,0.2563,-2.3379,0.0032,0.0063,6.7599
Camera Matrix,1563.1053,0.0000,311.8628,0.0000,1563.1053,249.7429,0.0000,0.0000,1.0000
Distortion Coefficient,8.5864,-771.1626,0.0467,0.1557,24829.7816
Camera Matrix,496.8445,0.0000,292.3820,0.0000,496.8445,247.9337,0.0000,0.0000,1.0000
Distortion Coefficient,0.4388,-6.8150,0.0079,-0.0161,39.6867
Camera Matrix,2215.8566,0.0000,328.9104,0.0000,2215.8566,257.6045,0.0000,0.0000,1.0000
Distortion Coefficient,4.7532,-422.5863,0.0537,0.0013,-1.2227
Camera Matrix,2105.4258,0.0000,262.5282,0.0000,2105.4258,229.0806,0.0000,0.0000,1.0000
Distortion Coefficient,6.4843,-1017.7499,0.0447,0.0434,40625.1796
Camera Matrix,2105.4258,0.0000,262.5282,0.0000,2105.4258,229.0806,0.0000,0.0000,1.0000
Distortion Coefficient,6.4843,-1017.7499,0.0447,0.0434,40625.1796
Camera Matrix,2105.4258,0.0000,262.5282,0.0000,2105.4258,229.0806,0.0000,0.0000,1.0000
Distortion Coefficient,6.4843,-1017.7499,0.0447,0.0434,40625.1796
Camera Matrix,2105.4258,0.0000,262.5282,0.0000,2105.4258,229.0806,0.0000,0.0000,1.0000
Distortion Coefficient,6.4843,-1017.7499,0.0447,0.0434,40625.1796
Camera Matrix,2105.4258,0.0000,262.5282,0.0000,2105.4258,229.0806,0.0000,0.0000,1.0000
Distortion Coefficient,6.4843,-1017.7499,0.0447,0.0434,40625.1796
Camera Matrix,1467.4340,0.0000,353.6436,0.0000,1467.4340,268.7829,0.0000,0.0000,1.0000
Distortion Coefficient,-0.9781,22.1124,-0.0082,-0.0140,-349.2993
Camera Matrix,616.4843,0.0000,181.6709,0.0000,616.4843,100.1630,0.0000,0.0000,1.0000
Distortion Coefficient,-1.1190,-13.7268,0.0331,0.0835,499.3913
Camera Matrix,110.5602,0.0000,197.2302,0.0000,110.5602,92.0546,0.0000,0.0000,1.0000
Distortion Coefficient,0.2229,-0.5312,-0.0089,0.0036,0.3116
Camera Matrix,2668.8434,0.0000,104.4038,0.0000,2668.8434,228.5688,0.0000,0.0000,1.0000
Distortion Coefficient,-35.5193,1516.5991,-0.6978,0.9172,-25122.1272
Camera Matrix,410.9918,0.0000,155.7473,0.0000,410.9918,119.6993,0.0000,0.0000,1.0000
Distortion Coefficient,1.1240,-14.3508,0.0549,-0.0092,71.9500
Camera Matrix,519.4466,0.0000,87.4228,0.0000,519.4466,48.9232,0.0000,0.0000,1.0000
Distortion Coefficient,0.7625,-8.0768,-0.0629,-0.0676,28.8451
Camera Matrix,776.5898,0.0000,113.6971,0.0000,776.5898,208.2419,0.0000,0.0000,1.0000
Distortion Coefficient,0.0020,8.7214,0.0190,0.0064,-180.4152
Camera Matrix,93.4006,0.0000,172.5356,0.0000,93.4006,135.0209,0.0000,0.0000,1.0000
Distortion Coefficient,0.2654,-0.6031,-0.0082,0.0044,0.2542
Camera Matrix,1579.6563,0.0000,431.2781,0.0000,1579.6563,-103.2641,0.0000,0.0000,1.0000
Distortion Coefficient,-2.6619,37.1677,0.1195,0.0185,-210.5932
Camera Matrix,683.6157,0.0000,309.3360,0.0000,683.6157,278.7668,0.0000,0.0000,1.0000
Distortion Coefficient,0.1626,-9.6630,0.0195,-0.0012,63.7413
Camera Matrix,965.7382,0.0000,333.6609,0.0000,965.7382,190.6479,0.0000,0.0000,1.0000
Distortion Coefficient,-1.2527,27.8360,0.0741,0.0410,-277.1096
Camera Matrix,965.7382,0.0000,333.6609,0.0000,965.7382,190.6479,0.0000,0.0000,1.0000
Distortion Coefficient,-1.2527,27.8360,0.0741,0.0410,-277.1096
Camera Matrix,965.7382,0.0000,333.6609,0.0000,965.7382,190.6479,0.0000,0.0000,1.0000
Distortion Coefficient,-1.2527,27.8360,0.0741,0.0410,-277.1096
Camera Matrix,928.8517,0.0000,459.9134,0.0000,928.8517,145.3082,0.0000,0.0000,1.0000
Distortion Coefficient,0.9131,-2.5730,-0.0731,0.1134,3.6212
Camera Matrix,702.6228,0.0000,339.9474,0.0000,702.6228,262.6876,0.0000,0.0000,1.0000
Distortion Coefficient,-0.8684,8.9106,0.0027,0.0188,-19.3748
Camera Matrix,322.5037,0.0000,378.8954,0.0000,322.5037,272.4734,0.0000,0.0000,1.0000
Distortion Coefficient,-0.0942,0.1779,-0.0048,-0.0065,-0.1047
Camera Matrix,485.8222,0.0000,335.0162,0.0000,485.8222,283.5797,0.0000,0.0000,1.0000
Distortion Coefficient,-0.1127,-0.2220,0.0045,-0.0087,0.7087
Camera Matrix,1027.0528,0.0000,448.8319,0.0000,1027.0528,264.3696,0.0000,0.0000,1.0000
Distortion Coefficient,-1.8782,10.5328,-0.0095,-0.0711,-31.9605
Camera Matrix,1341.6820,0.0000,334.5487,0.0000,1341.6820,205.2403,0.0000,0.0000,1.0000
Distortion Coefficient,0.0820,-51.7142,0.0340,0.0241,752.1556
Camera Matrix,748.6791,0.0000,313.6534,0.0000,748.6791,222.0862,0.0000,0.0000,1.0000
Distortion Coefficient,-0.0293,1.1855,-0.0127,-0.0061,-24.0844
Camera Matrix,645.1082,0.0000,347.6163,0.0000,645.1082,242.3328,0.0000,0.0000,1.0000
Distortion Coefficient,0.4179,-6.5020,-0.0117,-0.0008,24.3056
Camera Matrix,920.5364,0.0000,336.5606,0.0000,920.5364,236.1475,0.0000,0.0000,1.0000
Distortion Coefficient,1.2796,-69.1814,0.0112,0.0334,819.2654
Camera Matrix,866.6288,0.0000,335.2196,0.0000,866.6288,257.9495,0.0000,0.0000,1.0000
Distortion Coefficient,-0.1803,-6.3461,0.0116,0.0181,36.7617
Camera Matrix,744.1317,0.0000,334.6997,0.0000,744.1317,257.2961,0.0000,0.0000,1.0000
Distortion Coefficient,-0.2786,5.3602,-0.0027,0.0012,-35.1569
Camera Matrix,575.5571,0.0000,338.6522,0.0000,575.5571,233.1020,0.0000,0.0000,1.0000
Distortion Coefficient,0.2178,-5.9251,-0.0001,0.0030,25.4986
Camera Matrix,1374.8132,0.0000,293.8285,0.0000,1374.8132,270.8976,0.0000,0.0000,1.0000
Distortion Coefficient,1.7531,-322.6959,0.0658,0.1023,9336.7504
Camera Matrix,364.7637,0.0000,326.5448,0.0000,364.7637,323.8166,0.0000,0.0000,1.0000
Distortion Coefficient,0.0938,-0.6226,-0.0237,0.0093,1.0562
Camera Matrix,446.5193,0.0000,371.6530,0.0000,446.5193,316.3900,0.0000,0.0000,1.0000
Distortion Coefficient,-0.2584,0.4201,-0.0129,0.0014,-0.2295
